author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Tekta Group;developer;https://www.cian.ru/sale/flat/303224289/;Москва;sale;flat;16;34;2;42.4;22349040;Обручевский;;;Воронцовская;Эвер ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304519685/;Москва;sale;flat;39;41;2;56.9;39000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/294511036/;Москва;sale;flat;4;23;2;90.6;45000000;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
TOUCH;developer;https://www.cian.ru/sale/flat/302838489/;Москва;sale;flat;8;13;2;64.0;37645480;Южнопортовый;;к3;Дубровка;Шампайн ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/305274218/;Москва;sale;flat;2;5;2;84.63;139639500;Басманный;Потаповский переулок;6С1;Чистые пруды;Абрикосов
ID 95814020;realtor;https://www.cian.ru/sale/flat/308490853/;Москва;sale;flat;12;17;2;71.0;17500000;; Никитина;11к4;Рассказовка;
Пионер;developer;https://www.cian.ru/sale/flat/301459955/;Москва;sale;flat;4;11;2;85.3;77775516;Даниловский;;;Павелецкая;Опус ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/307575540/;Москва;sale;flat;4;21;2;54.0;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
ID 51002482;realtor;https://www.cian.ru/sale/flat/304140668/;Москва;sale;flat;2;5;1;30.6;11800000;Можайский; Гришина;25;Рабочий посёлок;
Sminex;developer;https://www.cian.ru/sale/flat/308620442/;Москва;sale;flat;3;26;2;61.54;31220000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301763282/;Москва;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ID 116114838;homeowner;https://www.cian.ru/sale/flat/308719974/;Москва;sale;flat;2;11;2;42.4;12850000;;бульвар Веласкеса;7к1;Ольховая;
Tekta Group;developer;https://www.cian.ru/sale/flat/303506216/;Москва;sale;flat;9;34;2;39.2;17918320;Нагорный;;2;Нагорная;Твелв ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/308421741/;Москва;sale;flat;13;17;2;52.2;19950000;Теплый Стан;Ленинский проспект;127;Тропарёво;
FORMA;developer;https://www.cian.ru/sale/flat/306305906/;Москва;sale;flat;5;33;2;64.67;37928955;Пресненский; Пресненский Вал;27С6;Белорусская;Republic
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Москва;sale;flat;5;10;1;40.4;28900000;Дорогомилово;Кутузовский проспект;30;Кутузовская;
Донстрой;developer;https://www.cian.ru/sale/flat/307281236/;Москва;sale;flat;7;21;2;65.3;24435260;Лефортово;;;Площадь Ильича;Символ ЖК
ID 52825739;homeowner;https://www.cian.ru/sale/flat/307814530/;Москва;sale;flat;7;15;2;46.5;23900000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
Mikhail Uger;realtor;https://www.cian.ru/sale/flat/304113525/;Москва;sale;flat;17;25;1;36.8;9900000;Чертаново Северное;Северное Чертаново мкр;7кБ;Чертановская;
UNIQ Development;developer;https://www.cian.ru/sale/flat/307668235/;Москва;sale;flat;3;25;2;64.3;50154000;Фили-Давыдково;Малая Филевская ;46;Кунцевская;Springs
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Москва;sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
Доступный дом;real_estate_agent;https://www.cian.ru/sale/flat/293926786/;Москва;sale;flat;3;17;1;35.4;14990000;; Эдварда Грига;15;Потапово;
MR Group;developer;https://www.cian.ru/sale/flat/306610643/;Москва;sale;flat;2;59;2;31.1;;Можайский;;;Давыдково;Веер ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308872981/;Москва;sale;flat;37;37;2;48.0;42500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Виктория Грудько;realtor;https://www.cian.ru/sale/flat/308153896/;Москва;sale;flat;4;8;1;33.0;12800000;Теплый Стан;Профсоюзная ;136К4;Коньково;
COLDY;developer;https://www.cian.ru/sale/flat/308462308/;Москва;sale;flat;7;15;2;53.7;50408190;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Москва;sale;flat;16;25;1;34.0;9700000;;;7;Потапово;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/305924959/;Москва;sale;flat;4;5;2;53.9;19990000;Ломоносовский; Строителей;5К4;Университет;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/296428444/;Москва;sale;flat;18;22;2;57.0;12500000;Некрасовка;Покровская ;41;Некрасовка;
ID 47664046;unknown;https://www.cian.ru/sale/flat/308165149/;Москва;sale;flat;10;12;2;52.0;13200000;Царицыно;Луганская ;3К2;Царицыно;
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/299515958/;Москва;sale;flat;6;6;2;65.8;46999999;Даниловский;;;Павелецкая;Опус ЖК
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/307089602/;Москва;sale;flat;31;40;2;79.1;30500000;Ховрино; Дыбенко;38к1;Ховрино;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/308919134/;Москва;sale;flat;2;78;2;54.9;46939500;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833064/;Москва;sale;flat;15;28;2;64.5;49000000;Раменки;Винницкая ;8к2;Раменки;Настоящее
ID 19850306;homeowner;https://www.cian.ru/sale/flat/308355964/;Москва;sale;flat;13;19;1;50.2;23850000;Богородское;1-я Мясниковская ;2;Белокаменная;Соколиный форт
Группа Родина;developer;https://www.cian.ru/sale/flat/305476395/;Москва;sale;flat;5;19;2;42.3;23067380;Можайский;;;Давыдково;Родина Парк ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307848098/;Москва;sale;flat;21;24;2;52.4;37200000;Арбат; Новый Арбат;16;Арбатская;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308686231/;Москва;sale;flat;4;9;2;47.0;26700000;Раменки; Дружбы;2/19;Ломоносовский проспект;
MR Group;developer;https://www.cian.ru/sale/flat/308399369/;Москва;sale;flat;5;11;2;75.79;56842500;Филевский парк;;;Фили;Фили Сити ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308629847/;Москва;sale;flat;26;41;2;46.0;21500000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305693861/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Ташир;developer;https://www.cian.ru/sale/flat/302722377/;Москва;sale;flat;3;16;2;47.4;22190784;Даниловский;Малая Тульская ;2;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/298907222/;Москва;sale;flat;1;12;2;54.8;14200000;Новогиреево;Новогиреевская ;50/9;Перово;
ID 81467774;homeowner;https://www.cian.ru/sale/flat/306073042/;Москва;sale;flat;3;17;1;38.0;13700000;Свиблово;Вересковая ;1К1;Свиблово;
Sminex;developer;https://www.cian.ru/sale/flat/306154917/;Москва;sale;flat;2;23;2;77.6;86100000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
ID 123285542;homeowner;https://www.cian.ru/sale/flat/308570652/;Москва;sale;flat;16;17;2;60.4;18200000;; Корнея Чуковского;3;Рассказовка;
Ташир;developer;https://www.cian.ru/sale/flat/274701470/;Москва;sale;flat;12;17;2;44.4;28704600;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306226871/;Москва;sale;flat;3;14;2;106.9;160350000;Хамовники;переулок 1-й Тружеников;16;Киевская;Brodsky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Москва;sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
Sminex;developer;https://www.cian.ru/sale/flat/294328857/;Москва;sale;flat;3;6;2;124.3;270980000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307496200/;Москва;sale;flat;1;10;1;31.0;14500000;Раменки;Мичуринский проспект;10К1;Ломоносовский проспект;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308009678/;Москва;sale;flat;12;17;2;57.8;27927000;Раменки;Мичуринский проспект;21К1;Раменки;
Среда;developer;https://www.cian.ru/sale/flat/303626038/;Москва;sale;flat;3;27;2;55.3;19419590;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307490355/;Москва;sale;flat;6;14;2;53.1;14200000;Новокосино;Суздальская ;16к2;Новокосино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308354835/;Москва;sale;flat;3;8;1;25.9;9990000;Аэропорт;Большой Коптевский проезд;3С7;Красный Балтиец;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307195917/;Москва;sale;flat;4;26;2;55.5;19288526;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307970936/;Москва;sale;flat;3;5;2;44.3;47900000;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294621795/;Москва;sale;flat;22;22;1;19.4;8780000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196510/;Москва;sale;flat;2;20;1;36.8;14028123;Головинский;Михалковская ;48С4;Коптево;Михалковский
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308413458/;Москва;sale;flat;4;13;2;68.9;95000000;Раменки;Воробьевское шоссе;4;Поклонная;Воробьёв Дом
Основа;developer;https://www.cian.ru/sale/flat/287742384/;Москва;sale;flat;3;20;2;34.8;9535200;Северный;Долгопрудненское шоссе;3А;Новодачная;ФизтехСити
Tekta Group;developer;https://www.cian.ru/sale/flat/306368174/;Москва;sale;flat;8;27;1;28.1;19363710;Даниловский;;1;Крестьянская застава;Эра ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305915966/;Москва;sale;flat;10;13;2;73.5;75000000;Раменки;Воробьевское шоссе;4;Поклонная;Воробьёв Дом
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307261417/;Москва;sale;flat;3;7;2;83.0;32000000;Можайский;Верейская ;29С151;Давыдково;Loft 151
Брусника;developer;https://www.cian.ru/sale/flat/306792349/;Москва;sale;flat;5;8;2;64.8;42140000;Даниловский;Дубининская ;вл59к2;;Дом А
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300321398/;Москва;sale;flat;7;7;2;83.6;37950000;Беговой;Ленинградский проспект;1;Белорусская;
Apsis Globe;developer;https://www.cian.ru/sale/flat/290875925/;Москва;sale;flat;19;21;2;65.4;15600000;Тропарево-Никулино;Востряковское шоссе;7с3;Озёрная;Комплекс апартаментов CITIMIX
Forma;developer;https://www.cian.ru/sale/flat/308937779/;Москва;sale;flat;3;29;2;57.1;21560960;Печатники;;;Нагатинский Затон;Портлэнд ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308063057/;Москва;sale;flat;24;49;1;43.9;27800000;Раменки; Лобачевского;114с1;Аминьевская;Событие
Колди;developer;https://www.cian.ru/sale/flat/308811746/;Москва;sale;flat;7;21;2;50.28;11173976;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Prime Life Development;developer;https://www.cian.ru/sale/flat/306733065/;Москва;sale;flat;2;28;2;58.18;26274768;Нагатино-Садовники;Нагатинская ;к1вл1;Нагатинская;Первый Нагатинский
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/297894351/;Москва;sale;flat;6;7;2;95.0;130000000;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308179072/;Москва;sale;flat;19;24;2;70.0;43000000;Хорошевский;Хорошевское шоссе;25Ак3;Хорошёвская;Династия
Группа Родина;developer;https://www.cian.ru/sale/flat/305467903/;Москва;sale;flat;2;23;1;43.8;22126280;Ростокино;;к6;Ботанический сад;Союз ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306509264/;Москва;sale;flat;2;39;2;69.0;47000000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/307493782/;Москва;sale;flat;30;41;2;57.0;34500000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
