?????;??? ??????;??????;???????;????;????????? ????;?????????? ??????;????? ???????;????;???? ????? ???????;??? ????????? ????;??? ???????;????? ??????;?????? ?????;?????;?????;????? ????;?????
????? ???????;???????;https://zvenigorod.cian.ru/sale/flat/306903701/;??????????;10;15;1;24,4;2 990 000,00 ?;2023;;;17 ?²;;;;;
ID 121194014;???????;https://zvenigorod.cian.ru/sale/flat/306708343/;??????????;12;15;1;38,0;4 000 000,00 ?;2023;;;20 ?²;9 ?²;;;;
?????-????????????;????? ?? ????????????;https://zvenigorod.cian.ru/sale/flat/298970091/;??????????;10;18;1;24,4;3 100 000,00 ?;2023;;;19 ?²;;;;;
Alliance Agency Real Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/308800808/;??????;18;33;3;65,2;44 300 000,00 ?;2023;;;37 ?²;10 ?²;????????-????????;?????????? ??????;10?1;????????
Century 21 Premium Property;????? ?? ????????????;https://www.cian.ru/sale/flat/294555391/;??????;3;13;3;67,8;40 000 000,00 ?;2023;;??? ???????;31,8 ?²;19 ?²;????????-????????; ????????;;???????? ?????????
PEOPLE;????? ?? ????????????;https://www.cian.ru/sale/flat/298648663/;??????;7;14;4;96,2;60 000 000,00 ?;2023;;;;;???????;;?10;???????
Whitewill;????? ?? ????????????;https://www.cian.ru/sale/flat/308709754/;??????;5;8;3;125,3;158 500 000,00 ?;2023;;;76,7 ?²;10 ?²;?????????;?????????? ????????;1;??????????
????????;????? ?? ????????????;https://www.cian.ru/sale/flat/296923306/;??????;3;22;2;62,0;19 800 000,00 ?;2023;;;36 ?²;12 ?²;???????????????;??????????????? ???????;52?1;?????????
;;https://www.cian.ru/sale/flat/285925030/;??????;4;9;4;147,4;281 209 720,00 ?;2023;;;;;?????????;2-? ?????????????? ????????;3;???? ????????
Vesco Realty;????? ?? ????????????;https://www.cian.ru/sale/flat/288723231/;??????;8;9;4;247,3;666 483 420,00 ?;2023;;;;;????????;1-? ????????-?????? ;2;??????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/304615750/;??????;17;28;1;20,6;14 900 000,00 ?;2023;;;9,3 ?²;6,3 ?²;???????????;??????????? ;59?;??????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/308146325/;??????;8;18;1;27,8;15 000 000,00 ?;2023;;;15,8 ?²;7 ?²;???????????;??????????? ;59?;??????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/307403383/;??????;23;34;1;31,0;15 500 000,00 ?;2023;;;15 ?²;10 ?²;???????????; ??????????? ???????;71?2;????????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/307296881/;??????;14;26;1;24,6;15 500 000,00 ?;2023;;;10 ?²;6 ?²;?????????; ????????????;12?2;????????????
Kalinka Group;????? ?? ????????????;https://www.cian.ru/sale/flat/299095732/;??????;17;32;3;83,7;83 700 000,00 ?;2023;;;47 ?²;31,7 ?²;????????????;????????? ;9;?????????
????????? ???????;???????;https://www.cian.ru/sale/flat/307085818/;??????;8;16;2;61,9;26 350 000,00 ?;2023;;;;22 ?²;?????????;????????????? ??????;3;???? ? ?????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/308909317/;??????;4;42;1;28,8;16 100 000,00 ?;2023;;;;5 ?²;???????; ??????? ????????;1?1;???????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/298988846/;??????;21;28;1;21,5;16 500 000,00 ?;2023;;;10 ?²;5 ?²;???????????;??????????? ;59?;??????????
???????-????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/304732503/;??????;20;41;1;30,0;16 600 000,00 ?;2023;;;12,4 ?²;7,5 ?²;????????-????????;????????????? ??????????;34?5;????????
????? ???????;???????;https://www.cian.ru/sale/flat/307407777/;??????;20;32;1;25,0;17 200 000,00 ?;2023;;;;;???????????;????????????? ???????;9?3;?????? ???????
?????;????? ?? ????????????;https://www.cian.ru/sale/flat/308567076/;??????;8;9;1;27,5;17 500 000,00 ?;2023;;;11 ?²;7 ?²;???????????;???????? ????????;22;?????????
??????? ???????;???????;https://www.cian.ru/sale/flat/308525301/;??????;8;43;1;28,0;18 400 000,00 ?;2023;;;;;???????; ??????? ????????;1?2;???????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/308885813/;??????;2;15;1;37,0;18 900 000,00 ?;2023;;;16 ?²;6,4 ?²;???????;????????? ;8?4;???????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/297552976/;??????;22;28;1;20,6;19 500 000,00 ?;2023;;;9 ?²;6 ?²;???????????;??????????? ;59?;??????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/305095857/;??????;9;13;1;25,8;19 700 000,00 ?;2023;;;10 ?²;5 ?²;???????????; ????????;2;???
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/303692746/;??????;14;29;1;31,6;21 000 000,00 ?;2023;;;12 ?²;12 ?²;????????-????????;????????????? ??????????;40?2;????????
Century 21 Premium Property;????? ?? ????????????;https://www.cian.ru/sale/flat/303590950/;??????;14;29;1;31,6;22 000 000,00 ?;2023;;;14,7 ?²;8,2 ?²;????????-????????;????????????? ??????????;40?3;???????? ?????????
Moscow Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/297848347/;??????;13;29;1;32,3;23 000 000,00 ?;2023;;;;;????????-????????;????????????? ??????????;40?1;???????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/307359765/;??????;2;12;1;14,7;2 800 000,00 ?;2023;;;10 ?²;2 ?²;; ???????????;3;??????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/307799687/;??????;2;12;1;19,7;3 200 000,00 ?;2023;;;14 ?²;2 ?²;; ???????????;3;??????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/307339407/;??????;2;12;1;21,0;3 400 000,00 ?;2023;;;17 ?²;2 ?²;; ???????????;3;??????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/307379477/;??????;2;12;1;21,1;3 500 000,00 ?;2023;;;;2 ?²;; ???????????;3;??????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/301809210/;??????;1;8;1;21,5;3 990 000,00 ?;2023;;;17 ?²;2 ?²;;????? ???????;14;????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/306656026/;??????;1;8;1;23,3;4 200 000,00 ?;2023;;;18 ?²;2 ?²;;????? ???????;14;??????????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/302081022/;??????;1;8;1;20,0;4 350 000,00 ?;2023;;;15 ?²;2 ?²;;????? ???????;14;??????????????
EstateLiga;????? ?? ????????????;https://www.cian.ru/sale/flat/294879897/;??????;2;12;3;100,0;35 990 000,00 ?;2023;;;50,3 ?²;15,5 ?²;???????????;????????? ;4??4;?????????????
Homeapp;????? ?? ????????????;https://www.cian.ru/sale/flat/303877794/;??????;13;14;3;70,9;39 200 000,00 ?;2023;;;41,7 ?²;6,2 ?²;???????;???????? ???????? ????????;39?2?;???????
One Moscow;????? ?? ????????????;https://www.cian.ru/sale/flat/302511328/;??????;8;15;1;22,1;5 900 000,00 ?;2023;;;10,6 ?²;4,3 ?²;; ????????;5?2;??????????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/306125470/;??????;4;16;1;18,0;6 000 000,00 ?;2023;;;;3 ?²;;???????? ???????;30?9;????????
????????? ?2;??????????;https://www.cian.ru/sale/flat/294217796/;??????;1;3;2;53,8;8 500 400,00 ?;2023;;??? ???????;;;; ???????? ????????;27?6;?????????
Century 21 Premium Property;????? ?? ????????????;https://www.cian.ru/sale/flat/302449493/;??????;15;40;3;86,1;46 000 000,00 ?;2023;;;45,2 ?²;21,9 ?²;???????????;??????? ??????? ????????;1;???
?101;??????????;https://www.cian.ru/sale/flat/306740259/;??????;21;21;4;165,6;35 600 589,00 ?;2023;??????????;??? ???????, ????????????, ????????;62,7 ?²;17,1 ?²;????? ??????;???????????? ;18?2;??????? ???????? ???????
ID 15548476;???????? ?????;https://www.cian.ru/sale/flat/295241916/;??????;8;14;1;25,4;6 000 000,00 ?;2023;;????????;13 ?²;3,2 ?²;;;?12;????????
ID 103381098;???????? ?????;https://www.cian.ru/sale/flat/305428472/;??????;4;16;1;18,0;6 100 000,00 ?;2023;;;;;;???????? ???????;30?9;????????? ?????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/308450326/;??????;1;9;1;19,7;6 150 000,00 ?;2023;;;10,7 ?²;4 ?²;;???????? ????????????????;17?1;??????? ???
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/307314826/;??????;5;14;1;24,4;6 200 000,00 ?;2023;;;9,8 ?²;6,4 ?²;; ???????????;12?3;??????
???????? ????? ????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/301152235/;??????;3;12;1;23,0;6 200 000,00 ?;2023;;;13 ?²;3 ?²;; ????????;5?2;??????????
ID 16356;???????;https://www.cian.ru/sale/flat/305956323/;??????;12;17;1;21,3;6 400 000,00 ?;2023;;;;;????? ??????;?????????? ?????;282?1;??????? ??????? ????????
ID 54134821;???????? ?????;https://www.cian.ru/sale/flat/307200077/;??????;15;15;1;22,4;6 500 000,00 ?;2023;;;;;;;;??????????????
ID 109200664;???????? ?????;https://www.cian.ru/sale/flat/294289310/;??????;9;9;1;22,0;6 500 000,00 ?;2023;;;;;;???????? ????????????????;17?1;??????? ???
????? ????????;???????;https://www.cian.ru/sale/flat/307550265/;??????;8;14;1;22,4;6 600 000,00 ?;2023;;;;;; ?????????;;????????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/290821469/;??????;13;14;1;25,0;6 600 000,00 ?;2023;;;10 ?²;5 ?²;;;?5;????????
ID 2680;???????;https://www.cian.ru/sale/flat/307310907/;??????;3;12;1;26,0;6 600 000,00 ?;2023;;;12 ?²;4 ?²;; ????????;1?2;????????
?101;??????????;https://www.cian.ru/sale/flat/306740983/;??????;23;23;4;159,7;36 844 754,00 ?;2023;??????????;??? ???????, ????????????, ????????;57,7 ?²;20,1 ?²;????? ??????;???????????? ;18?2;??????? ???????? ???????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/308542312/;??????;13;13;1;18,0;6 700 000,00 ?;2023;;;10 ?²;3 ?²;;???????? ???????;30?9;????????
??????? ???????;???????;https://www.cian.ru/sale/flat/308143437/;??????;9;14;1;25,5;6 650 000,00 ?;2023;;;12 ?²;;??? (??????????????); 1-? ???????????;12?2;
ID 13844123;???????;https://www.cian.ru/sale/flat/300925441/;??????;5;21;1;21,0;6 800 000,00 ?;2023;;;8,6 ?²;6 ?²;????? ??????;???????????? ;18?2;????????? ?????
ID 414003;???????? ?????;https://www.cian.ru/sale/flat/297162774/;??????;7;16;1;26,0;6 850 000,00 ?;2023;;;;;;;?8;??????????
ID 92324415;???????? ?????;https://www.cian.ru/sale/flat/301906540/;??????;12;14;1;24,5;6 800 000,00 ?;2023;;;18 ?²;6,5 ?²;; ?????????;7;?????????
ID 7408688;??????????;https://www.cian.ru/sale/flat/300542382/;??????;4;15;1;22,7;6 900 000,00 ?;2023;;;9,2 ?²;5,8 ?²;; ???????????;12?3;?????????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/307303417/;??????;13;16;1;28,0;7 000 000,00 ?;2023;;;16 ?²;4,5 ?²;; ????????????;9?1;??????? ???
ID 16741838;???????? ?????;https://www.cian.ru/sale/flat/303834085/;??????;14;17;1;21,5;7 100 000,00 ?;2023;;;15,5 ?²;6 ?²;????? ??????;?????????? ?????;282?2;????????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/308899688/;??????;5;15;1;27,7;7 200 000,00 ?;2023;;;5,7 ?²;17 ?²;; ???????????;6?2;??????
ID 106421009;???????? ?????;https://www.cian.ru/sale/flat/300257696/;??????;14;17;1;21,5;7 150 000,00 ?;2023;;;16 ?²;5,5 ?²;????? ??????;?????????? ?????;282?2;????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/308476977/;??????;17;22;2;41,4;9 600 000,00 ?;2023;;;23 ?²;12,1 ?²;;;;??????????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/304239073/;??????;3;21;3;99,0;99 000 000,00 ?;2023;;;60 ?²;22,4 ?²;???????????; ?????????;4?3;????? 1905 ????
INGRAD;??????????;https://www.cian.ru/sale/flat/304079234/;??????;26;29;4;115,4;42 132 599,00 ?;2023;??????????;??? ???????, ????????;;9,9 ?²;?????????; ????? ?????????;14;??????? ???????
Yhome;????? ?? ????????????;https://www.cian.ru/sale/flat/308955512/;??????;5;21;3;117,0;115 000 000,00 ?;2023;;;;47 ?²;???????????; ?????????;4?4;????? 1905 ????
TimeProperty;????? ?? ????????????;https://www.cian.ru/sale/flat/293666231/;??????;20;43;3;84,2;37 500 000,00 ?;2023;;;;;????????-????????;????????????? ??????????;34?7;????????
ID 13717594;??????????;https://www.cian.ru/sale/flat/308804152/;??????;8;9;1;19,9;7 300 000,00 ?;2023;;;;;; ?????????? ?????????;91?1;????????
ID 10285240;???????? ?????;https://www.cian.ru/sale/flat/306980100/;??????;15;21;1;25,0;7 499 000,00 ?;2023;;;;;????? ??????;???????????? ;18?2;????????? ?????
??????? ???? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/305792808/;??????;9;16;1;24,0;7 599 000,00 ?;2023;;;13 ?²;6 ?²;;???????? ???????;30?9;????????
ID 96189037;???????? ?????;https://www.cian.ru/sale/flat/304728313/;??????;9;21;1;23,8;7 500 000,00 ?;2023;;;;;????? ??????;???????????? ;18?2;????????? ?????
?? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/306829980/;??????;14;15;1;19,5;7 600 000,00 ?;2023;;;8 ?²;5,1 ?²;; ??????????? ????;20?1;????????
ID 168081;???????;https://www.cian.ru/sale/flat/307275887/;??????;22;23;1;24,6;7 600 000,00 ?;2023;;;15 ?²;6 ?²;????? ??????;???????????? ;18?2;????????? ?????
A2 REALTY;????? ?? ????????????;https://www.cian.ru/sale/flat/302244257/;??????;4;20;1;25,5;7 800 000,00 ?;2023;;;15 ?²;5 ?²;????? ??????;???????????? ;18?2;????????? ?????
???????? ????????????;???????;https://www.cian.ru/sale/flat/307427247/;??????;4;16;1;23,0;7 800 000,00 ?;2023;;;;;;???????? ???????;30?9;????????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/308364104/;??????;17;17;1;19,7;7 900 000,00 ?;2023;;;;6 ?²;; ?????????? ?????????;91?1;????????
ID 34595197;???????? ?????;https://www.cian.ru/sale/flat/308572216/;??????;8;9;1;23,5;8 000 000,00 ?;2023;;;;;;???????? ????????????????;17?1;??????? ???
ID 13764739;???????;https://www.cian.ru/sale/flat/308565807/;??????;6;9;1;20,0;8 100 000,00 ?;2023;;;15 ?²;5 ?²;; ?????????? ?????????;89?1;????????
ID 1134970;???????? ?????;https://www.cian.ru/sale/flat/308833352/;??????;9;17;1;21,3;8 200 000,00 ?;2023;;;10 ?²;5 ?²;;???????? ???????;18?2;????????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/307548397/;??????;5;17;1;23,1;8 250 000,00 ?;2023;;;10,1 ?²;8 ?²;; ?????????? ?????????;91?2;????????
ID 109858401;???????? ?????;https://www.cian.ru/sale/flat/307265224/;??????;5;17;1;23,1;8 250 000,00 ?;2023;;;17 ?²;;; ?????????? ?????????;91?2;????????
ID 84186749;???????? ?????;https://www.cian.ru/sale/flat/296496357/;??????;3;16;1;18,0;8 250 000,00 ?;2023;;;;;;???????? ???????;30?9;????????? ?????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/306228861/;??????;5;20;1;33,0;8 300 000,00 ?;2023;;;14 ?²;8 ?²;???????? ?????????;6-? ?????????? ;7/1?2;??????????
ID 317530;???????;https://www.cian.ru/sale/flat/308827633/;??????;6;25;1;28,0;8 300 000,00 ?;2023;;;16 ?²;;??????;????????? ;46?3;????????? ?????
ID 19086328;???????? ?????;https://www.cian.ru/sale/flat/306546911/;??????;6;14;1;23,6;8 300 000,00 ?;2023;;;13,7 ?²;6,4 ?²;; ??????? ?????;14;??????? ???????? ???????
Homeapp;????? ?? ????????????;https://www.cian.ru/sale/flat/303092084/;??????;2;25;1;26,7;8 499 999,00 ?;2023;;;12,6 ?²;6,9 ?²;???????;?????????? ;72?3;????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/297935405/;??????;11;24;1;26,4;8 500 000,00 ?;2023;;;17,4 ?²;4 ?²;??????;????????? ;46?4;??????
ID 77166411;??????????;https://www.cian.ru/sale/flat/307146009/;??????;8;16;1;22,1;8 500 000,00 ?;2023;;;;;????????? ?????????;???????? ???????;1?2;
ID 82802283;??????????;https://www.cian.ru/sale/flat/295693749/;??????;7;25;1;25,0;8 500 000,00 ?;2023;;;18 ?²;5 ?²;??????;????????? ;46?4;??????
ID 24832;???????;https://www.cian.ru/sale/flat/305999763/;??????;2;25;1;23,1;8 550 000,00 ?;2023;;;16 ?²;7,1 ?²;?????????????;????????????? ;10;?????????????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/306035939/;??????;15;23;1;22,5;8 800 000,00 ?;2023;;;;5 ?²;????????; ?????????;1;????????
???????? ????? ????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/304213202/;??????;7;21;1;24,0;8 800 000,00 ?;2023;;;12 ?²;4 ?²;????? ??????;???????????? ;18?2;????????? ?????
??????? ???????;???????;https://www.cian.ru/sale/flat/308741536/;??????;5;14;1;30,0;8 990 000,00 ?;2023;;;22 ?²;8 ?²;?????????;??????????? ?????;40?3;??????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/306798409/;??????;26;31;1;23,0;9 000 000,00 ?;2023;;;;5 ?²;?????????????;????????????? ;10;?????????????
?? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/306488301/;??????;26;30;1;23,0;9 000 000,00 ?;2023;;;15 ?²;3 ?²;?????????????;????????????? ;10;?????????????
ID 12770133;???????;https://www.cian.ru/sale/flat/303359818/;??????;8;33;1;20,0;9 000 000,00 ?;2023;;;10 ?²;5 ?²;????????? ?????;???????? ;46?5;??????? ?????????
ID 114852667;???????? ?????;https://www.cian.ru/sale/flat/300245268/;??????;3;13;1;26,7;9 000 000,00 ?;2023;;;18,3 ?²;;; ?????? ??????????;4;?????????
ID 26091596;??????????;https://www.cian.ru/sale/flat/301025703/;??????;5;14;1;31,0;9 190 000,00 ?;2023;;;21 ?²;7 ?²;?????????;??????????? ?????;40?3;??????
ID 59756417;???????;https://www.cian.ru/sale/flat/306285588/;??????;9;33;1;19,7;9 250 000,00 ?;2023;;;;;????????;?????????? ??????;16?1;?????????
?????? ????????;???????;https://www.cian.ru/sale/flat/306901038/;??????;17;25;1;20,1;9 400 000,00 ?;2023;;;8 ?²;5,7 ?²;?????????????;????????? ????????;2/2?2;?????????????
?????? ???????;???????;https://www.cian.ru/sale/flat/306544408/;??????;12;23;1;24,0;9 499 999,00 ?;2023;;;;;????????; ?????????;1;????????
ID 12770133;???????;https://www.cian.ru/sale/flat/270479702/;??????;9;33;1;20,0;9 500 000,00 ?;2023;;????????;10 ?²;5 ?²;????????? ?????;???????? ;46?5;??????? ?????????
ID 120698;???????;https://www.cian.ru/sale/flat/308832275/;??????;3;33;1;19,8;9 450 000,00 ?;2023;;;;9 ?²;????????;?????????? ??????;16?1;?????????
????????? ?2;??????????;https://www.cian.ru/sale/flat/293999176/;??????;3;3;2;54,5;11 063 500,00 ?;2023;;????????;;;; ???????? ????????;25?8;?????????
Regions Development;??????????;https://www.cian.ru/sale/flat/308070823/;??????;3;24;4;110,5;51 001 875,00 ?;2023;??????????;??? ???????;57,7 ?²;;??????????? ?????;???????? ?????????;9/1?2;?????????
ID 110812394;???????? ?????;https://www.cian.ru/sale/flat/307874896/;??????;9;21;1;20,0;9 590 000,00 ?;2023;;;14 ?²;6 ?²;????????????;1-? ??????????????? ??????;13?3;??????????????
ID 203950;???????? ?????;https://www.cian.ru/sale/flat/301596048/;??????;25;33;1;20,1;9 590 000,00 ?;2023;;;9,9 ?²;5,1 ?²;????????????;???????? ?????;18??1;??????? ?????????????
??????? ???? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/308706075/;??????;29;33;1;20,0;9 650 000,00 ?;2023;;;10 ?²;5 ?²;???????-???????????;??????? ;44;???????
ID 16146521;??????????;https://www.cian.ru/sale/flat/302314451/;??????;10;16;1;38,2;9 700 000,00 ?;2023;;??? ???????;;;???????? ?????????;6-? ?????????? ;7/1?2;????????
ID 89879197;???????? ?????;https://www.cian.ru/sale/flat/272472776/;??????;3;33;1;19,9;9 800 000,00 ?;2023;;;9,9 ?²;5,1 ?²;???????-???????????;??????? ;44;???????
ID 16140945;???????;https://www.cian.ru/sale/flat/299744547/;??????;20;25;1;20,1;9 800 000,00 ?;2023;;;9,9 ?²;5 ?²;????????;;1.2;??????????????
???????;????? ?? ????????????;https://klin.cian.ru/sale/flat/297111458/;????;4;9;1;27,4;4 500 000,00 ?;2023;;;15 ?²;7 ?²;;;;
NF Group - ex-Knight Frank;????? ?? ????????????;https://www.cian.ru/sale/flat/308711129/;??????;9;21;3;117,0;115 000 000,00 ?;2023;;;;10 ?²;???????????;2-? ?????????????? ;16;????? 1905 ????
Capital Group;??????????;https://www.cian.ru/sale/flat/295988623/;??????;36;67;3;96,4;105 000 000,00 ?;2023;??????????;??? ???????, ????????????, ????????;76,9 ?²;14,5 ?²;???????????;????????????????? ??????????;14??2;??????-????
Whitewill;????? ?? ????????????;https://www.cian.ru/sale/flat/306600530/;??????;8;37;2;48,2;29 000 000,00 ?;2023;;;37,1 ?²;5 ?²;???????; 1-? ??????? ????;1?1;???????????
????????;????? ?? ????????????;https://klin.cian.ru/sale/flat/300282661/;????;8;9;2;43,3;5 400 000,00 ?;2023;;;;7 ?²;;;;
BARNES International Realty;????? ?? ????????????;https://www.cian.ru/sale/flat/307532779/;??????;10;34;3;84,0;75 000 000,00 ?;2023;;;;10 ?²;????????????;????????? ;9;?????????
MERSI;????? ?? ????????????;https://www.cian.ru/sale/flat/308549670/;??????;13;33;2;40,0;17 900 000,00 ?;2023;;;;10 ?²;????????????;???????? ?????;18??4;??????? ?????????????
ID 108109847;???????? ?????;https://www.cian.ru/sale/flat/308933767/;??????;7;8;2;51,9;10 100 000,00 ?;2023;;;33 ?²;16,9 ?²;; ????????;8?2;??????????
Century 21 Premium Property;????? ?? ????????????;https://www.cian.ru/sale/flat/307093784/;??????;8;21;4;101,3;45 500 000,00 ?;2023;;;53,1 ?²;11 ?²;???????????;???????? ????????;16?1;?????????
?????????;????? ?? ????????????;https://balashikha.cian.ru/sale/flat/300825193/;????????;2;3;3;98,0;10 750 000,00 ?;2023;;;60 ?²;15 ?²;; ?????????????;20;????????????
????????? ?2;??????????;https://www.cian.ru/sale/flat/301203205/;??????;1;3;1;40,9;7 198 400,00 ?;2022;;??? ???????;;;??? (????????); ???????? ????????;25?4;
????????? ??????;???????;https://www.cian.ru/sale/flat/308833375/;??????;15;28;1;40,0;30 500 000,00 ?;2022;;;16 ?²;18 ?²;???????;????????? ;8?3;???????
????????? ???;????? ?? ????????????;https://www.cian.ru/sale/flat/293926786/;??????;3;17;1;35,4;14 990 000,00 ?;2022;;;24 ?²;9 ?²;; ??????? ?????;15;????????
ZAPAD REALTY - ???? ??????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/297952059/;??????;18;22;1;43,0;19 200 000,00 ?;2022;;;22 ?²;12 ?²;??????;??????? ????????????? ??????;23;?????????
ZAPAD REALTY - ???? ??????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/297558153/;??????;18;22;1;43,0;19 500 000,00 ?;2022;;;24 ?²;14 ?²;??????;??????? ????????????? ??????;23;?????????
??????? ???? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/307340005/;??????;16;17;1;30,5;6 100 000,00 ?;2022;;;12,3 ?²;7 ?²;; ??????;1?6;?????????
NIKA ESTATE;????? ?? ????????????;https://www.cian.ru/sale/flat/306945307/;??????;21;24;1;40,8;30 000 000,00 ?;2022;;;25,8 ?²;10 ?²;???????????;??????????? ?????;25??3;????????????
SUNRISE Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/308762650/;??????;18;35;1;48,5;21 700 000,00 ?;2022;;;25,5 ?²;18 ?²;???????; ????????????;120?1;???????????
;;https://www.cian.ru/sale/flat/294443416/;??????;25;25;1;41,3;10 896 151,00 ?;2022;?????????, ??????????;??? ???????, ????????;;;??????????; ???????????;10;??????????
?????????? ???????;???????;https://khimki.cian.ru/sale/flat/307112339/;?????;6;8;1;45,0;8 500 000,00 ?;2022;;;16 ?²;18 ?²;; ???????? ?????????;15;??????????????
??????? ???? ???????;????? ?? ????????????;https://khimki.cian.ru/sale/flat/304826036/;?????;1;8;1;35,7;6 750 000,00 ?;2022;;;18 ?²;12 ?²;; ???????? ?????????;15;??????????????
?????????;????? ?? ????????????;https://khimki.cian.ru/sale/flat/300338249/;?????;4;8;1;42,0;9 500 000,00 ?;2022;;;16 ?²;11,5 ?²;; ???????? ?????????;6;??????????????
????? ?????????;???????;https://khimki.cian.ru/sale/flat/290343097/;?????;2;8;1;39,5;7 200 000,00 ?;2022;;;18 ?²;11 ?²;; ???????? ?????????;4;??????????????
????21;??????????;https://khimki.cian.ru/sale/flat/294557351/;?????;6;8;1;40,1;8 107 033,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;9;???????
????21;??????????;https://khimki.cian.ru/sale/flat/294557330/;?????;7;8;1;38,5;8 089 112,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;9;???????
????21;??????????;https://khimki.cian.ru/sale/flat/303986798/;?????;8;8;1;36,7;7 934 625,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;7;???????
????21;??????????;https://khimki.cian.ru/sale/flat/299122647/;?????;7;8;1;40,6;8 477 764,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;6;???????
????21;??????????;https://khimki.cian.ru/sale/flat/294557536/;?????;8;8;1;36,9;8 061 683,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;15;???????
????21;??????????;https://khimki.cian.ru/sale/flat/299122646/;?????;7;8;1;38,7;9 555 357,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;6;???????
????21;??????????;https://khimki.cian.ru/sale/flat/294557674/;?????;8;8;1;38,8;8 210 233,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;11;???????
????21;??????????;https://khimki.cian.ru/sale/flat/307588090/;?????;4;8;1;39,7;8 750 299,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;6;???????
????21;??????????;https://khimki.cian.ru/sale/flat/305511715/;?????;8;8;1;32,6;8 600 747,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;15;???????
????21;??????????;https://khimki.cian.ru/sale/flat/302792854/;?????;7;8;2;55,9;10 856 303,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;6;???????
????21;??????????;https://khimki.cian.ru/sale/flat/307588090/;?????;4;8;1;39,7;8 750 299,00 ?;2022;;??? ???????;;;; ???????? ?????????;6;???????
????21;??????????;https://khimki.cian.ru/sale/flat/294557070/;?????;7;8;1;39,1;9 477 838,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;7;???????
????21;??????????;https://khimki.cian.ru/sale/flat/294557214/;?????;8;8;1;40,1;9 960 400,00 ?;2022;?????????-?????????;??? ???????, ????????????;;;; ???????? ?????????;7;???????
